no,pricechangepercent,Below60times,Above60times,for60buy,trust60buy,self60buy,for30buy,trust30buy,self30buy,buysamedays,sellsamedays,FTBDays,TSBDays,SFBDays,FTSDays,TSSDays,SFSDays,P0RateOf0_1,P1RateOf0_1,P2-5RateOf0_1,P6-9RateOf0_1,P10-16RateOf0_1,H0RateOf0_1,H1RateOf0_1,H2-5RateOf0_1,H6-9RateOf0_1,H10-16RateOf0_1,P0RateOf1_2,P1RateOf1_2,P2-5RateOf1_2,P6-9RateOf1_2,P10-16RateOf1_2,H0RateOf1_2,H1RateOf1_2,H2-5RateOf1_2,H6-9RateOf1_2,H10-16RateOf1_2,P0RateO41_4,P1RateOf4_4,P2-5RateOf4_4,P6-9RateOf4_4,P10-16RateOf4_4,H0RateOf4_4,H1RateOf4_4,H2-5RateOf4_4,H6-9RateOf4_4,H10-16RateOf4_4
6477,-0.219026548672566,2,19,-0.00307231143370969,4.23475042551302E-05,-0.000148216264892956,0.00178918205477925,4.23475042551302E-05,-0.000148216264892956,0,0,2,0,1,0,0,1,0.00234671401837849,-0.00316170879847844,0.000785694302903539,-0.000265176008234107,0.000294476485430503,0,-0.159999999999999,-0.139999999999999,0.279999999999999,0.019999999999996,0.00613912816496998,-0.00686250326285565,-0.00147494126859826,0.00201455233620464,0.000183764030279299,0,-0.329999999999999,-0.469999999999999,0.73,0.0600000000000023,0.0106376704390224,-0.0128151271695611,-0.00304977120057107,0.00434958634981009,0.000877641581299708,0,-0.56,-0.869999999999999,0.859999999999999,0.570000000000007
6531,-0.0266963292547275,0,20,0.0099140335346173,0,0.000108334405505403,0.00938590330777847,0,0.000189585209634455,0,0,0,0,4,0,0,1,0.0148996647483025,-0.00417880135337245,-0.00765732753623771,-0.00322852391469949,0.000164988056007228,0.01,-0.04,-0.130000000000001,-0.259999999999998,0.420000000000002,0.0429698506621584,-0.00547315931931314,-0.0344527267604191,-0.00457661996123535,0.00153265537880923,0.02,-0.27,-1.72,-1.1,3.08999999999999,0.0429425646816951,-0.00491899404942886,-0.0351641112510678,-0.0040321996843736,0.00117274030317509,0.02,-0.29,-1.71,-0.909999999999997,2.91
6558,-0.469486823855756,9,16,0.00940828965624666,4.61530029739841E-05,9.23060059479683E-05,-0.00923752354524292,-0.00383069924684068,-0.000138459008921952,0,0,0,0,1,0,0,5,-0.00196457442502806,0.00353016887875335,-0.000667209839281757,-0.000375031774993824,-0.000523352839449698,0,0.470000000000001,0.379999999999999,0.0400000000000009,-0.890000000000008,-0.001844757805316,0.000589390038838067,0.00148132896198219,0.000395144450584133,-0.00062110564608844,0,0.41,0.379999999999999,0.220000000000001,-0.990000000000002,-0.00591967383923465,0.00674949511002476,0.00302510823724916,-0.00277257472215825,-0.00108235478588104,0,1.27,1.16,-1.67,-0.750000000000007
6591,-0.34816247582205,0,20,-0.0523999181185873,0,-0.00153992969067192,-0.0321052280056109,0,-0.00198843112963273,0,0,0,0,2,0,0,3,-0.0025097620803139,0.00134707741287388,0.00373146926581291,-0.00102207467434683,-0.00154670992402598,0.01,1.16,1.08,2.15,-4.38000000000001,-0.00505309541078312,0.0154637230426223,-0.00698537744384028,-0.00207253625975047,-0.00135271392824845,0.01,2.44,0.68,0.919999999999998,-4.03,-0.00194270246450726,0.0130085146228177,-0.00899223914958261,-0.00151086461398519,-0.000562708394742603,0.01,1.68,0.510000000000002,1.23,-3.42000000000001
6668,-0.377215189873418,0,20,-0.00507269775151287,0,-5.84799579388751E-05,0.00217881703290764,0,2.92399789694375E-05,0,0,0,0,1,0,0,1,0.000106494211949866,0.00450090205206288,-0.00492445138066035,0.000172600133408012,0.000144454983239563,0,-0.0600000000000005,-0.34,0.5,-0.109999999999999,1.7909319615074E-05,0.0047176250267934,-0.00500516126848748,0.000133403278392615,0.00013622364368633,0,-0.00999999999999979,-0.32,0.449999999999999,-0.120000000000005,0.000769750445980051,0.00343613370774321,-0.00459175083003775,0.000197107878470781,0.000188758797843711,0,-0.200000000000001,-0.369999999999999,0.679999999999998,-0.109999999999999
6669,0.143322475570033,0,20,0.0776153462416748,-0.00717746812010535,-0.00183601632945718,0.04746046324225,-0.00519363643139778,-0.0048271615343642,5,0,7,5,10,0,6,1,0.00289378114784777,-0.00371994671755227,-0.000966627047669394,0.00193349647925246,-0.000140703861878658,-0.01,-0.0499999999999998,-0.100000000000001,0.729999999999999,-0.589999999999989,0.0145056406873887,-0.0246785335039298,0.00280470731367058,0.00687823916708277,0.000489946335787653,-0.01,-0.27,-0.28,1.17,-0.629999999999995,0.0225267495978239,-0.0525137894023227,0.0123268986122178,0.0154815984650603,0.00217854272722052,-0.01,-0.61,-0.190000000000001,2.61,-1.78999999999999
8021,-0.271551724137931,0,20,0.0237774714862907,7.0333149208182E-06,0.000701221497605575,0.0300082851746436,7.0333149208182E-06,0.000991697403835367,0,0,1,0,2,0,0,0,0.00460824864101822,-0.0050627694112772,0.00036863095997694,-0.000183981897059246,0.000269871707341249,-0.01,-0.219999999999999,-0.27,-0.68,1.19,-0.000304684952852852,0.00379540970207631,-0.00228909888284265,-0.00136666670091557,0.000165040834534709,0,0.0800000000000001,-0.300000000000001,-0.979999999999997,1.2,-0.00859029346896123,0.011617463329416,-0.00199838729746288,-0.00120204128023361,0.000173258717241665,-0.03,0.390000000000001,-0.129999999999999,-0.890000000000001,0.660000000000011
8028,-0.411279229711142,20,5,-0.044362969004894,-0.0129825992387167,0.00221285722917044,-0.0127570766116851,0.00089873723642076,-0.00271886895051659,0,0,0,1,4,0,0,8,0.00154477511786438,-0.000558996158666392,-0.000521026394172841,-0.000525038017279888,6.02854522546927E-05,0.01,-0.149999999999999,-0.160000000000004,-0.600000000000001,0.890000000000001,0.0043310651230844,-0.00325790204419363,-0.0010903603270276,2.15106102103499E-05,-4.31336207353189E-06,0,-0.359999999999999,-0.539999999999999,-0.110000000000003,0.979999999999997,-0.00317307602824818,0.00398497662205011,-0.000483013833215945,-5.23331208221837E-05,-0.000276553639763766,0.01,0.43,-0.120000000000001,0.019999999999996,-0.340000000000003
8039,-0.0891304347826087,6,15,-0.00604128663311153,-0.00885617218678765,0.00039211993483617,-0.0116512222101016,-0.00438983048999517,0.00186496066568422,0,3,0,0,5,4,3,8,-8.07143887283646E-05,0.00170967551376167,-0.00117726965309685,-0.000521875831769979,7.01843598335796E-05,0,0.0199999999999996,-0.24,-0.529999999999999,0.749999999999993,0.00630637147556268,-0.00367607191440106,-0.00254137611743584,-2.25570494200508E-05,-6.63663943056697E-05,0,-0.300000000000001,-0.620000000000001,0.0999999999999996,0.819999999999993,0.0154155699983088,-0.0114930648266737,-0.00408160622943493,-7.60018020133976E-05,0.000235102859813236,0,-0.699999999999999,-0.970000000000001,-0.33,1.98999999999999
8070,-0.220630372492837,0,20,0.0052327540648639,-0.00422667918410752,-0.00217595706144795,0.00193826114762762,-0.000297432979622381,-0.00192548718387121,0,0,0,0,0,0,1,6,-0.00554152799625796,0.00424700234466641,0.00214209796158177,-0.000567149538778613,-0.000280422771211582,-0.01,0.00999999999999979,0.23,0.19,-0.430000000000007,-0.00833999807784391,0.00763739499587418,0.001030724436912,8.57349346784601E-06,-0.000336694848410051,-0.01,0.0800000000000001,0.0999999999999996,0.350000000000001,-0.5,-0.0151745689694398,0.0136452015280185,0.00282662647451203,-0.000872761874866375,-0.000424497158224383,-0.01,0.19,0.43,0.310000000000001,-0.940000000000012
8081,-0.191235059760956,14,9,-0.0514299110737409,-0.00568629706385614,0.00129972504316712,-0.0269163888736481,0.00758946587706514,0.000290117197135517,1,1,1,2,4,1,1,8,-0.000275252464129128,0.00120595263767065,-0.000553544289777774,-0.000505391268056467,0.000128235384292653,0,-0.0799999999999983,0.0899999999999999,-0.990000000000002,0.989999999999995,0.00277011050169756,-0.00214519180845985,-0.00058571721856536,-3.06715241649505E-06,-3.6134322255868E-05,0,-0.359999999999999,-0.0200000000000014,0.159999999999997,0.219999999999999,-0.00485399768036288,0.0072175435486016,-0.00184406534875819,-0.00041719301744899,-0.00010228750203153,0,0.360000000000001,-0.25,-0.100000000000001,0
8103,-0.281191806331471,0,20,-0.00114104016941744,0,-0.000135136109642461,-0.000145946998413858,0,-0.000429978530680559,0,0,0,0,0,0,0,0,-0.000189853419971686,-0.000136500797068506,0.000354736759594701,-7.90199722546965E-05,5.06374297002195E-05,0,-0.0500000000000007,0.0399999999999991,-0.159999999999997,0.179999999999993,0.000643662641863663,-0.00017255666223881,-0.000411497592933727,-0.000112417828711169,5.28094420201128E-05,0,-0.0300000000000011,-0.140000000000001,-0.0700000000000003,0.25,-0.000958931116855744,0.0011906943780379,-0.000150974531117842,-8.2825711852039E-05,2.03698178773398E-06,0,0.109999999999999,0.0199999999999996,-0.0299999999999976,-0.100000000000009
8105,-0.434628975265018,14,12,-0.00364621622549506,0.000649990594047262,-0.000283096948626856,-0.00294647304130832,-1.13238779450743E-05,9.73853503276386E-05,0,0,0,0,6,0,0,1,-0.000589434172285547,0.000222915638929955,0.000428308543006878,5.12021186339501E-05,-0.000112992128285156,0,0.0199999999999996,0.00999999999999801,-0.0100000000000016,-0.019999999999996,-0.00219922975917944,0.0016885509271124,0.000668085232580995,4.73822414880157E-05,-0.000204788642001873,0,0.0599999999999996,0.179999999999998,-0.0700000000000003,-0.179999999999993,-0.000813692754395884,0.00107470433245171,-0.000560735132069806,0.000445631465643054,-0.000145907911629027,0,-0.0100000000000007,0.0199999999999996,0,1.4210854715202E-14
8110,-0.355918367346939,0,20,0.000853112334688355,-0.000205378895387937,-1.98506601580726E-05,0.00397131690985713,-8.88658681967036E-05,-8.3044166431284E-05,0,0,0,0,4,0,1,2,0.00291576653748568,-0.0014308161294988,-0.00134179814210245,-0.000169449288141423,2.62970222569435E-05,0,-0.109999999999999,-0.379999999999999,-0.23,0.719999999999999,0.00423989962824295,-0.00189492818842274,-0.00222554308451911,-9.32999663262463E-05,-2.61283889749367E-05,0,-0.149999999999999,-0.5,-0.270000000000001,0.950000000000003,0.00417044272300074,0.000540477925228045,-0.00393017449526406,-0.000540839428511478,-0.000239906724453327,0,-0.13,-0.6,-0.239999999999998,0.959999999999994
8150,-0.259052924791086,0,20,0.047620352290627,0.0015763101608615,-0.000226885170524818,0.0346386841146331,0.00452807797901955,0.000763159209947115,2,0,2,4,5,1,2,9,-0.00096311817245931,0.00286676147833348,-0.00171350799765896,-0.000292253399873071,0.000102118091657889,0,0,-0.12,-0.00999999999999979,0.140000000000001,-0.00722578474307706,0.008019608343593,-0.000147949541331738,-0.000688859043445872,4.29849842616655E-05,-0.01,0.11,0.0300000000000011,-0.0999999999999996,-0.0300000000000011,-0.0246622179785458,0.0207555035844366,0.00455819182036452,-0.000873349255293476,0.000221871829038209,-0.0499999999999999,0.3,0.42,-0.14,-0.530000000000001
8210,-0.120141342756184,0,20,0.0323115080732289,-0.000150343346617838,-0.000108581305890661,0.0110485738471902,0.00248901762733977,6.68192651634838E-05,0,0,0,0,4,1,0,6,-0.00269258201052561,0.00215856914524182,0.00134592407902093,-0.00123105685340586,0.000419145639668697,0,0.109999999999999,0.24,-0.23,-0.109999999999999,-0.00149961760038364,0.00158262975301049,0.000725858568887322,-0.00111204886934615,0.000303178147831932,0,0.0999999999999996,0.179999999999999,-0.219999999999999,-0.0699999999999932,0.0170469132463754,-0.0187232221564015,0.00052122861945364,0.000256063705923182,0.000899016584649208,0,-0.52,-0.380000000000001,-0.470000000000001,1.37
8261,-0.40765391014975,12,9,-0.0036513179235341,-0.000749933984294883,0.000208997995623164,-0.00279073794155637,0,0.000282761994078398,0,0,0,0,2,0,0,2,0.00410199884374807,-0.00349432562057628,-0.000515381295647557,-0.000173363528911678,8.10716013875574E-05,-0.01,-0.57,-0.299999999999997,-0.199999999999999,1.08,0.00349634625451722,-0.0036919170530072,0.000219570491928202,-3.04689845118016E-05,6.46929107361166E-06,-0.02,-0.59,-0.109999999999996,0.27,0.439999999999998,0.00390151197140531,-0.00427472653855593,0.000200172664037365,0.000128062138167779,4.4979764945518E-05,-0.02,-0.620000000000001,-0.269999999999996,0.219999999999999,0.68
