no,pricechangepercent,Revenuegrow,Below60times,Above60times,for60buy,trust60buy,self60buy,for30buy,trust30buy,self30buy,buysamedays,sellsamedays,FTBDays,TSBDays,SFBDays,FTSDays,TSSDays,SFSDays,P0RateOf0_1,P1RateOf0_1,P2-5RateOf0_1,P6-9RateOf0_1,P10-16RateOf0_1,H0RateOf0_1,H1RateOf0_1,H2-5RateOf0_1,H6-9RateOf0_1,H10-16RateOf0_1,P0RateOf1_2,P1RateOf1_2,P2-5RateOf1_2,P6-9RateOf1_2,P10-16RateOf1_2,H0RateOf1_2,H1RateOf1_2,H2-5RateOf1_2,H6-9RateOf1_2,H10-16RateOf1_2,P0RateO41_4,P1RateOf4_4,P2-5RateOf4_4,P6-9RateOf4_4,P10-16RateOf4_4,H0RateOf4_4,H1RateOf4_4,H2-5RateOf4_4,H6-9RateOf4_4,H10-16RateOf4_4,Fin,Mar,Finrate,Marrate
2308,0,0.410004256355351,16,11,0.0232827650360245,-0.00173108835175084,-0.00407769906347537,0.00979654341696642,-0.00206840053061536,-0.00313911991725625,0,3,3,1,4,4,11,3,-4.89842779216598E-06,-0.000257608095607598,0.000234381260502417,-3.31546607377983E-05,6.12799236351987E-05,0,0.01,0,-0.0300000000000002,0.0300000000000011,0.00742531285943704,-0.00789256287062035,-0.000208019351240638,0.000237012935801528,0.000438256426622433,0,-0.05,-0.04,-0.0599999999999996,0.150000000000006,-0.00751081289976496,0.00775472989299097,0.000341757158443465,-0.000474934059399756,-0.000110740092269749,0,0.0799999999999998,0.05,-0.0599999999999996,-0.0699999999999932,0.00102635439041025,0.000120498471192201,0.00410542282313266,0.000481994502490818
2330,0,30.6740908800112,0,20,-0.00198998915899362,-0.000530490288111298,-0.000521162812165014,-0.00409487856038151,-0.000267546942137504,-0.000348276571361057,1,4,7,4,2,6,6,5,-0.0221441953588829,0.0231797479053321,5.52532489451474E-05,-0.000684117753876282,-0.000404751314393204,0,0.19,0.12,0.0499999999999998,-0.359999999999999,-0.0111862697131702,0.0117802390634875,0.000110128689918054,-0.000401677843788743,-0.000300483469321788,0,0.12,0.0899999999999999,0.0500000000000003,-0.249999999999986,-0.0181409149880131,0.0202659753479194,-0.000709174145828564,-0.000839469820347584,-0.000576577034827713,0,0.21,0.14,0.0699999999999998,-0.439999999999998,0.00113608051558346,4.78203550467937E-05,0.00454432214259876,0.000191281423565717
2331,0,-12.5155402301246,12,20,-0.0266007571742962,0,-0.00039648156304758,-0.0231035727100757,0,-0.00053641623235849,0,0,0,0,1,0,0,8,0.00073695766195514,0.00127238194594725,-0.00154337920649281,-0.000502253333397384,3.62929319877442E-05,0,-0.00999999999999979,-0.0800000000000001,-0.27,0.359999999999985,7.49640708986865E-05,0.000554107741985554,-0.000525829364506791,-0.000195279028083299,9.20365797058269E-05,0,-0.0200000000000005,0,-0.0800000000000001,0.0999999999999801,-0.00632197257281408,0.00189553534762671,0.00328039432313396,0.000839541601407885,0.000306501300645463,0,0.0699999999999994,0.34,0.369999999999999,-0.770000000000024,0.0667308969190849,0.000401863665713384,0.266925008970219,0.00160746322210262
2340,0,-10.9589641763879,1,20,-0.101049795077606,0.00665305864823593,0.00294398241357047,-0.0798761889820035,0.00665305864823593,0.00241414381001193,1,1,1,4,5,2,1,6,-0.0116148344267249,0.00860549235730063,0.00301629548018158,9.48731031640351E-06,-1.64407210736452E-05,-0.00999999999999979,0.619999999999999,1.13,0.289999999999999,-2.04,-0.0297720131726378,0.0274553927352525,0.00270646507126478,-0.00018250748597308,-0.000207337147906349,-0.02,1.57,1.95,0.859999999999999,-4.35,-0.0239446608218763,0.0242633807661557,9.96462624297534E-06,-0.000116817608034375,-0.000211866962487955,-0.04,1.19,1.28,1.1,-3.54,0.0696497854754385,0.00359724727228953,0.278601236067825,0.0143890972479003
2348,0,182.566030233,1,20,0.00610884690673938,0.00231444246816774,-0.00235577179795645,-0.00385396000279717,0,-0.00305837040436451,0,0,0,0,1,0,0,5,-0.00343704633734843,0.0030417467728646,0.000199448084644459,9.28577967852888E-05,0.000102993683054106,-0.01,0.16,0.0299999999999994,0,-0.199999999999989,-0.00393737834778751,0.00307417569946714,0.000659501309263677,9.87773627524171E-05,0.000104923976304257,0,0.19,0.12,0.0899999999999999,-0.419999999999987,-0.011448796659925,0.00850695894675188,0.00271712659640195,0.000182299743470975,4.24113733001955E-05,-0.01,0.29,0.5,0.279999999999999,-1.05999999999997,0.0177612794766979,0.000227311313837903,0.0710477371357719,0.000909278776606737
2351,0,-10.6891229226373,4,20,0.00220340096273833,0.00781815116547908,0.00461183074368148,-0.000471136942389927,0.00781815116547908,0.00260788048005798,4,0,5,8,5,0,0,5,0.00152352977731729,0.000739360464581229,-0.00148107472010965,-0.000717645778424807,-6.41697433640502E-05,-0.01,-0.0300000000000002,-0.170000000000001,-0.18,0.400000000000006,0.00595458920218916,0.000502529807758001,-0.00470131786953537,-0.00181665562256418,6.08544821523258E-05,-0.01,-0.18,-0.51,-0.24,0.930000000000021,0.0135321656938747,-0.00100720157162182,-0.0121085900808124,-0.000819250931266072,0.000402876889825555,-0.01,-0.45,-1.02,0.109999999999999,1.34000000000002,0.00664872265547413,0.000510595546621878,0.0265949269792467,0.0020423849785879
2353,0,11.1970207325097,0,20,0.0596340855631577,0.000630157300412645,0.000709608766254075,0.034545501445503,0.000268848712278696,-0.0013304351341638,2,1,6,3,5,1,3,5,-0.000212798941067405,-5.21954155295878E-05,0.000324128054624312,-5.95958720247432E-05,4.62173997448079E-07,0,0.00999999999999979,0.0399999999999991,-0.0799999999999983,0.0200000000000031,0.00128342774253193,0.00019600295167066,-0.00101011255705047,-0.000466831134237053,-2.48700291505819E-06,0,-0.0499999999999989,-0.190000000000001,-0.370000000000001,0.610000000000007,0.00329403380795662,0.00138630005625573,-0.00382353858968107,-0.000904153586827074,4.73583122957712E-05,0,-0.119999999999999,-0.690000000000001,-0.780000000000001,1.6,0.0094333737317745,0.000623102839662148,0.0377335173590831,0.00249241284034899
2355,0,-20.0266791664484,9,19,-0.0382660031655208,0,-0.00574094665040417,-0.0170534744777688,0,-0.00452583831028795,0,0,0,0,1,0,0,10,0.000816775958684957,0.000245100660148878,-0.00102534243501726,0.00010303720597437,-0.000139571389790965,0,-0.0400000000000009,-0.0999999999999996,0.100000000000001,0.0399999999999991,0.00225673175849794,-0.000576677519137092,-0.00145772896237517,-7.48732585333957E-05,-0.000147452018452281,0,-0.0700000000000003,-0.239999999999998,0.0300000000000011,0.280000000000001,0.00330469942665768,-0.00134364181493113,-0.00192999075957256,3.17833131758434E-05,-6.28501653298563E-05,0,-0.120000000000001,-0.409999999999998,0.0899999999999999,0.469999999999999,0.00684284613895677,0.000953470105391403,0.0273716200577622,0.00381391323598966
2358,0,-4.09557260283739,11,19,-0.00100405668493965,0,-0.000137397230570689,0.000232518390196551,0,-8.4552141889655E-05,0,0,0,0,1,0,0,3,-0.0112435515983793,0.0100028124614739,0.00159300190348022,-0.00028180900281809,-7.04537637567463E-05,0,0.529999999999999,0.709999999999997,-0.32,-0.880000000000003,-0.0119498758347684,0.0109405504945435,0.00158886867470082,-0.000508909687369694,-7.06336471061966E-05,0,0.58,0.749999999999996,-0.459999999999997,-0.839999999999996,-0.0109715842019634,0.0102526834880065,0.00121653186724945,-0.000477471654817553,-2.0159498474979E-05,-0.0100000000000002,0.55,0.68,-0.52,-0.68,0.0602434010963792,0.000147966248306896,0.335590226670592,0.000824256697085664
2365,0,-5.66625889624637,0,20,0.00833551861780507,0,-0.000123647079241098,0.015754343372271,0,-0.000140701848791595,0,0,0,0,2,0,0,1,-0.000595160133372685,0.000433204471715187,0.000388225445735885,-0.000334441810117027,0.000108172026038602,0,0.04,0.0700000000000003,-0.27,0.150000000000006,-0.000184508139390194,-0.000250647436153661,0.000447106108397738,-3.85359364550135E-05,2.65854036010441E-05,0,0.0200000000000005,0.0799999999999983,-0.110000000000003,0,0.000700172768380636,0.000299877964905715,-0.000421132338696936,-0.000690756899565353,0.000111838504975862,0.01,0.0200000000000005,-0.110000000000003,-0.710000000000001,0.800000000000004,0.0189990132792529,5.5428001039113E-05,0.0759968618890064,0.000221714363679776
