no,pricechangepercent,Revenuegrow,Below60times,Above60times,for60buy,trust60buy,self60buy,for30buy,trust30buy,self30buy,buysamedays,sellsamedays,FTBDays,TSBDays,SFBDays,FTSDays,TSSDays,SFSDays,P0RateOf0_1,P1RateOf0_1,P2-5RateOf0_1,P6-9RateOf0_1,P10-16RateOf0_1,H0RateOf0_1,H1RateOf0_1,H2-5RateOf0_1,H6-9RateOf0_1,H10-16RateOf0_1,P0RateOf1_2,P1RateOf1_2,P2-5RateOf1_2,P6-9RateOf1_2,P10-16RateOf1_2,H0RateOf1_2,H1RateOf1_2,H2-5RateOf1_2,H6-9RateOf1_2,H10-16RateOf1_2,P0RateO41_4,P1RateOf4_4,P2-5RateOf4_4,P6-9RateOf4_4,P10-16RateOf4_4,H0RateOf4_4,H1RateOf4_4,H2-5RateOf4_4,H6-9RateOf4_4,H10-16RateOf4_4,Fin,Mar,Finrate,Marrate
4526,0,-29.3502702111353,1,20,-0.000772062678373107,0.000102030220480125,-0.000176590766215601,-0.00235745533506428,-1.17727177477067E-05,-0.000137348373723245,0,0,0,0,0,0,0,0,-0.00508603193479495,0.00505405589396418,0.000397871005714534,-0.000282364497199438,-8.3530467684367E-05,0.01,0.24,0.280000000000001,0.0700000000000003,-0.600000000000001,-0.00568595609556666,0.00644991626941535,5.81869469326313E-05,-0.000750994408503194,-7.11527122782135E-05,0.01,0.33,0.289999999999999,-0.399999999999999,-0.230000000000011,-0.00354555472571716,0.00542886199118908,-0.00105722708016379,-0.000704353794087228,-0.000121726391220988,0.01,0.340000000000001,0.209999999999999,-0.239999999999998,-0.330000000000005,0.0107995064138963,1.17727177477067E-05,0.0431984428468276,4.70913257777917E-05
4532,0,-8.888732329427,18,7,0.0079320265136453,0,-0.000104968141129388,0.00314904423388165,0,-7.52601766588068E-05,0,0,0,0,1,0,0,1,0.000100345447248323,-2.63206390593851E-05,-0.000196913469045185,0.000114673406978134,8.21525387811883E-06,0,-0.00999999999999979,-0.0500000000000007,0.00999999999999979,0.0499999999999972,0.000725752126062018,-0.00123549334496353,0.000169035050750388,0.000176509517721649,0.000164196650429526,0,-0.0300000000000002,-0.0800000000000018,-0.0799999999999983,0.190000000000012,0.00188053140257052,-0.00263298523325617,4.35941155560726E-05,0.000564712921750005,0.000144146793379599,0,-0.0700000000000003,-0.140000000000001,0.0100000000000016,0.180000000000007,0.00195280353119957,1.7824778682349E-05,0.00781126216053491,7.12995531894667E-05
4536,0,-6.71783023139709,20,1,0.0217473243778903,-0.0106498898920943,-0.000748733759083902,0.00687175732217573,-0.027850517507157,-0.0034463774499009,1,1,3,2,3,4,4,6,0.00518542028199104,-0.0112535342728485,-0.000228821237887089,0.00471583337172616,0.0015811018570183,0,-0.23,-0.180000000000001,0.449999999999999,-0.0400000000000063,0.00590424594785061,-0.0151289843877054,0.0035622323413021,0.00344212473572938,0.00222038136282322,0,-0.27,0.0299999999999994,-0.0700000000000003,0.319999999999993,0.00466297848278074,-0.0174450253826386,0.00683453389204677,0.00361053790938208,0.00233697509842894,0,-0.32,0.119999999999999,-0.119999999999999,0.299999999999983,0.00978859282096455,0.000594582691037216,0.0391543712838582,0.00237833076414887
4545,0,4.15348162806834,20,2,0.000194805194805195,0,-2.5974025974026E-05,0.000727272727272727,0,-6.49350649350649E-05,0,0,0,0,1,0,0,1,0.000683514626601101,-0.00104554027739323,0.000292552418509798,5.80005884191562E-05,1.14726438631297E-05,0,-0.04,-0.0200000000000005,-0.0199999999999996,0.0700000000000074,0.000935657843948556,-0.00154982671208814,0.000292552418509798,0.000310143805766609,1.14726438631297E-05,0.01,-0.0299999999999994,-8.88178419700125E-16,0.0700000000000003,-0.0299999999999869,0.00183951480379313,-0.002957272000564,0.00175495769344999,-0.000656669628180308,1.94691315011314E-05,0.01,-0.04,0.149999999999999,-0.27,0.160000000000011,0.0452337662337662,0,0.180935064935065,0
4552,0,-26.7614756072041,2,20,0.00357758620689655,0,2.58620689655172E-05,0.00612068965517241,0,2.58620689655172E-05,0,0,0,0,1,0,0,1,0.00194673320442093,-0.00327242629660685,0.00128530558530493,2.10070408540944E-05,1.93804660268389E-05,0,-0.130000000000001,0,-0.0200000000000031,0.109999999999999,0.00248426474212601,-0.00343083790871201,0.000890166507919093,-0.000124500254534615,0.00018090691320146,0,-0.17,-0.110000000000001,-0.0899999999999999,0.350000000000001,0.00319559576864027,-0.00480646674617569,0.00121676920266947,4.72131267355083E-05,0.00034688864813035,0,-0.23,-0.280000000000001,-0.120000000000005,0.609999999999999,0.0113103448275862,0,0.0452413793103448,0
4571,0,13.0467937208271,0,20,0.000987394957983193,0,-6.30252100840336E-05,0.0011344537815126,0,-4.20168067226891E-05,0,0,0,0,1,0,0,0,-6.07373846810422E-05,0.000390689123083487,-0.00151679306608885,0.00124265405955547,-5.58127318690677E-05,0,0.02,0.0199999999999996,0.0800000000000001,-0.11999999999999,0.00261812680313455,-0.00166846229668172,0.000234141421418532,-0.00123947591618065,5.56699883093037E-05,0,0.0299999999999998,0.149999999999999,-0.1,-0.0899999999999892,0.00422795192938898,-0.00651416575131458,0.00162651033102168,0.00027298075485678,0.000386722736047111,0,0.02,0.149999999999999,-0.0200000000000005,-0.149999999999991,0.00472689075630252,0,0.0189075630252101,0
4722,0,-16.5549368176324,9,20,0.0055394926378693,0,-0.000859921239813645,0.00186982874238548,0,3.99963367355184E-05,0,0,0,0,0,0,0,0,-0.00072527975034864,0.000724082300092466,0.000387468934100743,-0.000260784467840988,-0.000125487016003591,0,0.0199999999999996,0.0400000000000009,-0.219999999999999,0.150000000000006,-0.0016427101877477,0.000294238077966746,0.000433324568979099,0.00116517412831915,-0.000250026587517273,0,0.04,0.0700000000000003,0.580000000000002,-0.689999999999998,0.00113653433454852,-0.00167581149917073,-3.99204242357842E-05,0.00065301379551172,-7.38162066537054E-05,0,-0.0500000000000007,-0.0899999999999981,-0.139999999999997,0.270000000000003,0.00310971518118656,2.99972525516388E-05,0.0124390048796096,0.000119990400767939
4763,0,7.65387599394881,0,20,-0.00117861960541695,0.00208502115445986,0.001760098048621,0.0047379725001811,0.00337719547269107,0.00162304925729344,1,1,1,1,5,2,3,5,-0.00268653400939088,-0.00488803475935828,0.00820073040302596,-0.000210418840485199,-0.000415742793791574,0,0.0999999999999996,0.35,0.0699999999999985,-0.5,-0.00155084579236069,0.0023188214930765,0.00166399090240152,-0.00222710340156532,-0.000204863201551943,0,0.35,0.17,-0.0400000000000027,-0.469999999999999,-0.013937790801718,0.00375022369362921,0.012294201861131,-0.00070183876163207,-0.00140479599141016,0,0.8,0.99,1.48,-3.26000000000001,0.0621614160664256,0.0100632969631946,0.24864907197118,0.0402537395254131
4807,0,13.8103904039532,15,11,0.000312613973844631,0,-0.000156306986922315,0.000521023289741051,0,-0.000130255822435263,0,0,0,0,0,0,0,1,0.000551235064509381,-0.000714575967878522,0.000156647488954786,4.53424847422518E-06,2.15916594010742E-06,0,-0.0299999999999994,0,0.00999999999999979,0.00999999999999091,0.00041715085962879,-0.000446407558117187,2.25632840741216E-05,4.53424847422518E-06,2.15916594010742E-06,0.01,-0.0299999999999994,0.0199999999999996,0.0199999999999996,0,0.000927662192060752,-0.00112979520399438,0.000588353371210534,-0.00039125301474036,5.03265546340087E-06,0.01,-0.0499999999999998,0.31,-0.24,-0.0200000000000102,0.0228208200906581,0,0.0912880366819508,0
4906,0,4.23733283046725,8,15,0.0274457825635276,0.000475404133783242,-0.00100114517584942,0.0165328778760384,0.000195754643322512,-0.00348443265114071,0,0,1,0,4,0,0,6,0.00384908223895269,-0.00216680486041071,-0.00131005885677504,-0.000402413897313301,3.01953755463833E-05,0,-0.26,-0.530000000000001,-0.440000000000001,1.23,0.00483459966961258,-0.00288903386347811,-0.00199180339891186,-3.05518804302636E-05,7.67894732076509E-05,-0.00999999999999995,-0.51,-1.1,-0.449999999999999,2.05,0.00509310764770871,-0.00358772528912732,-0.00177008530970496,7.07343237001841E-05,0.00017539990458016,-0.00999999999999995,-0.529999999999999,-1.13,-0.440000000000001,1.85,0.033591496794143,0.00114376641598439,0.134366925064599,0.00457509759835341
